Title,Offered_by,Domain,Duration,Price,combined_features
Aiwozo RPA Developer,Aiwozo,Robotic Process Automation,120 hours,0.0,Aiwozo RPA Developer Aiwozo Robotic Process Automation 120 hours 0.0
Ethical Behaviour with Colleagues and Clients,TalentQuest,Continuous Learning,1 hour 15 minutes,1179.0,Ethical Behaviour with Colleagues and Clients TalentQuest Continuous Learning 1 hour 15 minutes 1179.0
Convincing Others to Take Appropriate Actions in Different Situations,TalentQuest,Continuous Learning,1 hour,1179.0,Convincing Others to Take Appropriate Actions in Different Situations TalentQuest Continuous Learning 1 hour 1179.0
Defining a Clear Strategic Outlook and Empowering the Team,TalentQuest,Continuous Learning,1 hour,1179.0,Defining a Clear Strategic Outlook and Empowering the Team TalentQuest Continuous Learning 1 hour 1179.0
Managing Team Performance to Achieve Team Goals and Success,TalentQuest,Continuous Learning,1 hour 15 minutes,1179.0,Managing Team Performance to Achieve Team Goals and Success TalentQuest Continuous Learning 1 hour 15 minutes 1179.0
Certified Blockchain Developer,IDS,Blockchain,56 hours 43 minutes,18000.0,Certified Blockchain Developer IDS Blockchain 56 hours 43 minutes 18000.0
Certified Hyperledger Developer,IDS,Blockchain,35 hours 50 minutes,14161.0,Certified Hyperledger Developer IDS Blockchain 35 hours 50 minutes 14161.0
Certified Ethereum Developer,IDS,Blockchain,45 hours 18 minutes,14160.0,Certified Ethereum Developer IDS Blockchain 45 hours 18 minutes 14160.0
Certified Usability Analyst,HFI,"Web, Mobile Development & Marketing",80 hours,151701.0,"Certified Usability Analyst HFI Web, Mobile Development & Marketing 80 hours 151701.0"
TruBot Designer,Datamatics,Robotic Process Automation,4 hours 20 minutes,0.0,TruBot Designer Datamatics Robotic Process Automation 4 hours 20 minutes 0.0
TruBot Cockpit,Datamatics,Robotic Process Automation,2 hours 20 minutes,0.0,TruBot Cockpit Datamatics Robotic Process Automation 2 hours 20 minutes 0.0
Google Cloud Computing Foundations with Kubernetes,Google,Cloud Computing,62 hours,0.0,Google Cloud Computing Foundations with Kubernetes Google Cloud Computing 62 hours 0.0
Selenium Test Engineer,Naresh I Technologies,"Web, Mobile Development & Marketing",120 hours,11800.0,"Selenium Test Engineer Naresh I Technologies Web, Mobile Development & Marketing 120 hours 11800.0"
AWS Solutions Architect Associate,Naresh I Technologies,Cloud Computing,120 hours,14160.0,AWS Solutions Architect Associate Naresh I Technologies Cloud Computing 120 hours 14160.0
Cyber Security Professional,DataMites,Cybersecurity,40 hours,110920.0,Cyber Security Professional DataMites Cybersecurity 40 hours 110920.0
Certified Data Scientist,DataMites,Artificial Intelligence,100 hours,103840.0,Certified Data Scientist DataMites Artificial Intelligence 100 hours 103840.0
Certified Data Engineer,DataMites,Artificial Intelligence,40 hours,51920.0,Certified Data Engineer DataMites Artificial Intelligence 40 hours 51920.0
Artificial-Intelligence-Engineer (AIE),DataMites,Artificial Intelligence,120 hours,129800.0,Artificial-Intelligence-Engineer (AIE) DataMites Artificial Intelligence 120 hours 129800.0
Certified Digital Marketing Masters - CDMM,Digital Vidya,"Web, Mobile Development & Marketing",120 hours,76700.0,"Certified Digital Marketing Masters - CDMM Digital Vidya Web, Mobile Development & Marketing 120 hours 76700.0"
Certification Course on Internet of Things (Expert Level),Qmansys,Internet Of Things,80 hours,16520.0,Certification Course on Internet of Things (Expert Level) Qmansys Internet Of Things 80 hours 16520.0
Python Fundamentals,360DigiTMG,Artificial Intelligence,20 hours,0.0,Python Fundamentals 360DigiTMG Artificial Intelligence 20 hours 0.0
RPA Using UiPath Course,Henry Harvin,Robotic Process Automation,32 hours,15000.0,RPA Using UiPath Course Henry Harvin Robotic Process Automation 32 hours 15000.0
Tableau Course,Henry Harvin,Artificial Intelligence,32 hours,15000.0,Tableau Course Henry Harvin Artificial Intelligence 32 hours 15000.0
Aiwozo RPA Solution Architect,Aiwozo,Robotic Process Automation,15 hours,0.0,Aiwozo RPA Solution Architect Aiwozo Robotic Process Automation 15 hours 0.0
Aiwozo RPA Business Analyst,Aiwozo,Robotic Process Automation,16 hours,0.0,Aiwozo RPA Business Analyst Aiwozo Robotic Process Automation 16 hours 0.0
Endpoint Security Specialist,ICSS,Cybersecurity,30 hours,11800.0,Endpoint Security Specialist ICSS Cybersecurity 30 hours 11800.0
Digital Forensics,ICSS,Cybersecurity,30 hours,11800.0,Digital Forensics ICSS Cybersecurity 30 hours 11800.0
Security Infrastructure Specialist,ICSS,Cybersecurity,30 hours,11800.0,Security Infrastructure Specialist ICSS Cybersecurity 30 hours 11800.0
Basic Networking,CRAW,Cybersecurity,60 hours,11800.0,Basic Networking CRAW Cybersecurity 60 hours 11800.0
Learning Path in Full Stack Development,Board Infinity,"Web, Mobile Development & Marketing",150 hours,118000.0,"Learning Path in Full Stack Development Board Infinity Web, Mobile Development & Marketing 150 hours 118000.0"
Certified Ethereum Developer Program,Indian Blockchain Institute ,Blockchain,60 hours,12980.0,Certified Ethereum Developer Program Indian Blockchain Institute  Blockchain 60 hours 12980.0
Data Science for Beginners,Board Infinity,Artificial Intelligence,30 hours,0.0,Data Science for Beginners Board Infinity Artificial Intelligence 30 hours 0.0
Masters Program in Data Science,ExcelR ,Artificial Intelligence,240 hours,53217.0,Masters Program in Data Science ExcelR  Artificial Intelligence 240 hours 53217.0
Develop Your Leadership Voice,EdMyst ,Effective Communication,4 hours 30 minutes,16520.0,Develop Your Leadership Voice EdMyst  Effective Communication 4 hours 30 minutes 16520.0
Endpoint Security,CRAW,Cybersecurity,60 hours,11800.0,Endpoint Security CRAW Cybersecurity 60 hours 11800.0
Web Application Security,CRAW,Cybersecurity,60 hours,11800.0,Web Application Security CRAW Cybersecurity 60 hours 11800.0
Advanced Penetration Testing,CRAW,Cybersecurity,60 hours,11800.0,Advanced Penetration Testing CRAW Cybersecurity 60 hours 11800.0
AWS Cloud Security,CRAW,Cloud Computing,60 hours,11800.0,AWS Cloud Security CRAW Cloud Computing 60 hours 11800.0
Ethical Hacking,CRAW,Cybersecurity,60 hours,11800.0,Ethical Hacking CRAW Cybersecurity 60 hours 11800.0
Mobile Application Security,CRAW,Cybersecurity,60 hours,11800.0,Mobile Application Security CRAW Cybersecurity 60 hours 11800.0
Cyber Forensics Investigation,CRAW,Cybersecurity,60 hours,11800.0,Cyber Forensics Investigation CRAW Cybersecurity 60 hours 11800.0
Python Programming,CRAW,Artificial Intelligence,60 hours,11800.0,Python Programming CRAW Artificial Intelligence 60 hours 11800.0
AWS Associate,CRAW,Cloud Computing,60 hours,11800.0,AWS Associate CRAW Cloud Computing 60 hours 11800.0
IoT Penetration Testing,CRAW,Internet Of Things,60 hours,11800.0,IoT Penetration Testing CRAW Internet Of Things 60 hours 11800.0
Learning Path in Data Science,Board Infinity,Artificial Intelligence,200 hours,99999.0,Learning Path in Data Science Board Infinity Artificial Intelligence 200 hours 99999.0
Certificate in Cybersecurity,Skills Factory Learning,Cybersecurity,43 hours,5899.0,Certificate in Cybersecurity Skills Factory Learning Cybersecurity 43 hours 5899.0
Data Science 360,AnalytixLabs,Artificial Intelligence,565 hours,61360.0,Data Science 360 AnalytixLabs Artificial Intelligence 565 hours 61360.0
Python Developer,Naresh I Technologies,Artificial Intelligence,140 hours,14160.0,Python Developer Naresh I Technologies Artificial Intelligence 140 hours 14160.0
Certification Course in AR & VR,BackStage Pass,Augmented Reality & Virtual Reality,275 hours,88500.0,Certification Course in AR & VR BackStage Pass Augmented Reality & Virtual Reality 275 hours 88500.0
Strategic Planning Under Uncertainty,Global Gyan,Digital Leadership,2 hours,1770.0,Strategic Planning Under Uncertainty Global Gyan Digital Leadership 2 hours 1770.0
Creating a Positive First Impression,Global Gyan,Effective Communication,45 minutes,500.0,Creating a Positive First Impression Global Gyan Effective Communication 45 minutes 500.0
Interview Friendly Digital Presence,Global Gyan,Effective Communication,45 minutes,300.0,Interview Friendly Digital Presence Global Gyan Effective Communication 45 minutes 300.0
Being Interview Ready,Global Gyan,Effective Communication,45 minutes,300.0,Being Interview Ready Global Gyan Effective Communication 45 minutes 300.0
Preparation for Interview,Global Gyan,Effective Communication,45 minutes,300.0,Preparation for Interview Global Gyan Effective Communication 45 minutes 300.0
Product Lifecycle Management,Global Gyan,Product Management,3 hours,2360.0,Product Lifecycle Management Global Gyan Product Management 3 hours 2360.0
Stepping into Program Management,Global Gyan,Program Management,3 hours,2360.0,Stepping into Program Management Global Gyan Program Management 3 hours 2360.0
Business Analytics Program,Global Gyan,Project Management,3 hours,2360.0,Business Analytics Program Global Gyan Project Management 3 hours 2360.0
Business Models in Isolation Economy,Global Gyan,Digital Leadership,3 hours,1180.0,Business Models in Isolation Economy Global Gyan Digital Leadership 3 hours 1180.0
Fundamentals of Finance,Global Gyan,Project Management,3 hours,1180.0,Fundamentals of Finance Global Gyan Project Management 3 hours 1180.0
Managing Teams,Global Gyan,Collaboration & Team Work,3 hours,2360.0,Managing Teams Global Gyan Collaboration & Team Work 3 hours 2360.0
Understanding & Managing Stakeholders,Global Gyan,Collaboration & Team Work,3 hours,1180.0,Understanding & Managing Stakeholders Global Gyan Collaboration & Team Work 3 hours 1180.0
Build Customer Trust During Crisis,Global Gyan,Influencing and Negotiation,2 hours,1770.0,Build Customer Trust During Crisis Global Gyan Influencing and Negotiation 2 hours 1770.0
Being A Trusted Partner to Clients,Global Gyan,Influencing and Negotiation,3 hours,3540.0,Being A Trusted Partner to Clients Global Gyan Influencing and Negotiation 3 hours 3540.0
Make Presentations Like A Pro,Global Gyan,Effective Communication,2 hours,1180.0,Make Presentations Like A Pro Global Gyan Effective Communication 2 hours 1180.0
Azure Security Engineer Associate (AZ-500) Course by Microsoft (App Development),Microsoft,Cloud Computing,22 hours 48 minutes,0.0,Azure Security Engineer Associate (AZ-500) Course by Microsoft (App Development) Microsoft Cloud Computing 22 hours 48 minutes 0.0
Operating Systems & Shell Scripting,Accenture,Software Tools and Programming Languages,6 hours,0.0,Operating Systems & Shell Scripting Accenture Software Tools and Programming Languages 6 hours 0.0
SQL Fundamentals,Accenture,Software Tools and Programming Languages,8 hours,0.0,SQL Fundamentals Accenture Software Tools and Programming Languages 8 hours 0.0
Python Basics,Accenture,Software Tools and Programming Languages,8 hours,0.0,Python Basics Accenture Software Tools and Programming Languages 8 hours 0.0
Acquiring Data,Accenture,Artificial Intelligence,10 hours,0.0,Acquiring Data Accenture Artificial Intelligence 10 hours 0.0
Digital And SaaS For Product Manager,IPL,Product Management,6 hours,8260.0,Digital And SaaS For Product Manager IPL Product Management 6 hours 8260.0
Agile Product Management,IPL,Product Management,6 hours,8260.0,Agile Product Management IPL Product Management 6 hours 8260.0
User Experience & Design (UI/UX) Fundamentals,IPL,Product Management,8 hours,8260.0,User Experience & Design (UI/UX) Fundamentals IPL Product Management 8 hours 8260.0
Design Thinking for Business Leaders,IPL,Innovation and Design Thinking,4 hours,8260.0,Design Thinking for Business Leaders IPL Innovation and Design Thinking 4 hours 8260.0
Salesforce Developer Catalyst,Salesforce,Cloud Computing,58 hours 45 minutes,0.0,Salesforce Developer Catalyst Salesforce Cloud Computing 58 hours 45 minutes 0.0
Cloud Masterclass - Cloud Practitioner Essentials,AWS,Cloud Computing,8 hours 40 minutes,0.0,Cloud Masterclass - Cloud Practitioner Essentials AWS Cloud Computing 8 hours 40 minutes 0.0
AWS Cloud Masterclass - Discovery Day,AWS,Cloud Computing,3 hours,0.0,AWS Cloud Masterclass - Discovery Day AWS Cloud Computing 3 hours 0.0
Full Stack Data Science and AI Program,Naresh I Technologies,Artificial Intelligence,300 hours,15000.0,Full Stack Data Science and AI Program Naresh I Technologies Artificial Intelligence 300 hours 15000.0
Full Stack Java Developer Program,Naresh I Technologies,"Web, Mobile Development & Marketing",600 hours,12001.0,"Full Stack Java Developer Program Naresh I Technologies Web, Mobile Development & Marketing 600 hours 12001.0"
